,Unnamed: 0,zipcode,walkscore,transitscore,bikescore,ZIP,LAT,LNG
0,0,60601.0,95,100.0,84.0,60601,41.88531,-87.622116
1,1,60602.0,93,100.0,86.0,60602,41.883072999999996,-87.629149
2,2,60603.0,98,100.0,87.0,60603,41.880188000000004,-87.625509
3,3,60604.0,98,100.0,88.0,60604,41.878095,-87.628461
4,4,60605.0,71,91.0,91.0,60605,41.867566,-87.617228
5,5,60606.0,97,100.0,87.0,60606,41.882065999999995,-87.637349
6,6,60607.0,88,89.0,88.0,60607,41.87493,-87.651596
7,7,60608.0,65,67.0,66.0,60608,41.84688,-87.670664
8,8,60609.0,51,57.0,56.0,60609,41.81268,-87.656935
9,9,60610.0,98,88.0,82.0,60610,41.906772,-87.632231
10,10,60611.0,85,,81.0,60611,41.8957,-87.613775
11,11,60612.0,84,78.0,89.0,60612,41.880320000000005,-87.687749
12,12,60613.0,93,83.0,74.0,60613,41.956949,-87.65427199999999
13,13,60185.0,15,,,60185,41.896691,-88.211014
14,14,60064.0,56,,,60064,42.324027,-87.85670400000001
15,15,60661.0,98,100.0,87.0,60661,41.88303,-87.644101
16,16,60660.0,96,74.0,86.0,60660,41.99111,-87.663076
17,17,60659.0,85,56.0,79.0,60659,41.991488000000004,-87.703986
18,18,60657.0,96,84.0,84.0,60657,41.940293,-87.646857
19,19,60656.0,33,41.0,45.0,60656,41.97428,-87.82713199999999
20,20,60655.0,58,39.0,67.0,60655,41.694776,-87.703777
21,21,60654.0,96,100.0,84.0,60654,41.892289,-87.637271
22,22,60653.0,73,56.0,76.0,60653,41.819962,-87.60598399999999
23,23,60652.0,62,58.0,50.0,60652,41.747932,-87.714795
24,24,60651.0,76,63.0,61.0,60651,41.902093,-87.74085699999999
25,25,60649.0,84,67.0,72.0,60649,41.76342,-87.56587900000001
26,26,60647.0,94,72.0,92.0,60647,41.921215000000004,-87.70102800000001
27,27,60646.0,61,45.0,64.0,60646,41.993019,-87.75962700000001
28,28,60645.0,80,52.0,76.0,60645,42.008558,-87.694735
29,29,60644.0,83,70.0,75.0,60644,41.880084000000004,-87.756373
30,30,60643.0,50,51.0,69.0,60643,41.700272999999996,-87.663267
31,31,60642.0,72,77.0,94.0,60642,41.902042,-87.65854399999999
32,32,60641.0,83,62.0,69.0,60641,41.946606,-87.746787
33,33,60640.0,92,80.0,81.0,60640,41.972871999999995,-87.662604
34,34,60639.0,78,62.0,72.0,60639,41.920552,-87.756054
35,35,60638.0,69,40.0,65.0,60638,41.78143,-87.77051999999999
36,36,60637.0,78,74.0,72.0,60637,41.781621,-87.599876
37,37,60636.0,73,69.0,62.0,60636,41.775739,-87.669064
38,38,60634.0,85,56.0,60.0,60634,41.946189000000004,-87.806117
39,39,60633.0,9,30.0,43.0,60633,41.663809,-87.56147
40,40,60632.0,52,59.0,57.0,60632,41.810165999999995,-87.713252
41,41,60631.0,57,43.0,57.0,60631,41.994855,-87.81300300000001
42,42,60630.0,77,77.0,81.0,60630,41.972071,-87.756569
43,43,60629.0,75,54.0,66.0,60629,41.775868,-87.711496
44,44,60628.0,83,64.0,71.0,60628,41.690875,-87.615773
45,45,60626.0,89,76.0,76.0,60626,42.010019,-87.66709499999999
46,46,60625.0,82,65.0,84.0,60625,41.973292,-87.700351
47,47,60624.0,85,74.0,78.0,60624,41.880503999999995,-87.72444399999999
48,48,60623.0,89,63.0,68.0,60623,41.848896999999994,-87.71766099999999
49,49,60622.0,92,72.0,88.0,60622,41.902172,-87.683337
50,50,60621.0,72,70.0,60.0,60621,41.776382,-87.639572
51,51,60620.0,75,58.0,63.0,60620,41.740497,-87.652558
52,52,60619.0,88,60.0,54.0,60619,41.74369,-87.605526
53,53,60618.0,72,63.0,73.0,60618,41.946962,-87.702548
54,54,60617.0,52,46.0,57.0,60617,41.718196999999996,-87.552739
55,55,60616.0,88,74.0,83.0,60616,41.844883,-87.624032
56,56,60615.0,89,64.0,95.0,60615,41.801646999999996,-87.596288
57,57,60614.0,94,80.0,89.0,60614,41.922714,-87.64957700000001
