,ZipCode,HousingUnits,Population,Households,Families,MedianAge,MedianHouseholdIncome,MedianHomeValue
0,60601,39837.0,69283.0,36483.0,11773.0,38.1,53846.0,291335.0
1,60602,11257.0,21344.0,10582.0,3906.0,34.1,82834.0,390663.0
2,60603,20121.0,49333.0,16940.0,11128.0,35.1,27447.0,193626.0
3,60605,6004.0,14354.0,5654.0,3515.0,36.5,48332.0,175132.0
4,60606,43988.0,71331.0,40641.0,10371.0,32.4,89069.0,436891.0
5,60607,30157.0,49068.0,27761.0,7520.0,33.1,77317.0,335808.0
6,60608,37817.0,66866.0,34686.0,10377.0,31.7,101853.0,607649.0
7,60609,816.0,709.0,447.0,142.0,24.4,97932.0,567623.0
8,60610,32173.0,62565.0,26369.0,15092.0,42.0,36520.0,165677.0
9,60611,13237.0,40990.0,12487.0,9694.0,34.9,65746.0,182489.0
10,60612,16528.0,31466.0,14314.0,6982.0,37.9,26924.0,259592.0
11,60613,11427.0,28611.0,10602.0,7082.0,38.3,86834.0,248080.0
12,60614,27236.0,33830.0,22207.0,6420.0,41.0,96244.0,562077.0
13,60615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,60616,26720.0,54121.0,24951.0,10245.0,32.6,73806.0,451307.0
15,60617,31388.0,101742.0,25967.0,20131.0,29.0,31005.0,179300.0
16,60618,17274.0,38309.0,12903.0,8496.0,32.3,22574.0,193799.0
17,60619,32786.0,80042.0,29747.0,17129.0,34.2,58576.0,348765.0
18,60620,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,60621,1074386.0,2432359.0,940252.0,518009.0,34.6,51007.0,245338.0
20,60622,5760.0,14442.0,4773.0,3179.0,30.3,40703.0,141471.0
21,60623,22797.0,42245.0,20570.0,7151.0,37.1,44857.0,250000.0
22,60624,8549.0,11841.0,7556.0,2045.0,31.9,105947.0,358709.0
23,60625,30400.0,71244.0,25926.0,17310.0,39.5,36331.0,151314.0
24,60626,22786.0,55806.0,21080.0,13539.0,39.5,65717.0,308222.0
25,60628,12843.0,28725.0,11955.0,7260.0,45.3,81222.0,356047.0
26,60629,27513.0,93354.0,24390.0,19501.0,29.0,44259.0,201735.0
27,60630,39390.0,91077.0,36086.0,18229.0,32.6,55890.0,358155.0
28,60631,850.0,727.0,323.0,100.0,26.9,95387.0,564024.0
29,60632,24485.0,50393.0,19682.0,10801.0,32.0,26946.0,214528.0
30,60633,21323.0,55589.0,19683.0,13620.0,38.8,65658.0,227643.0
31,60634,27919.0,91726.0,25529.0,19968.0,30.3,42498.0,240787.0
32,60636,12985.0,28433.0,10298.0,6774.0,32.3,30369.0,87756.0
33,60637,17616.0,45707.0,15961.0,10256.0,36.3,54230.0,277517.0
34,60638,11238.0,14540.0,9040.0,2730.0,34.7,107353.0,512665.0
35,60639,10623.0,25332.0,9869.0,6773.0,44.6,90841.0,420222.0
36,60640,26729.0,47554.0,22294.0,10695.0,39.5,29641.0,186222.0
37,60641,18256.0,30857.0,16144.0,5060.0,33.8,92149.0,352837.0
38,60642,1987.0,2253.0,1517.0,344.0,31.2,91637.0,345798.0
39,60643,13395.0,25416.0,12116.0,4245.0,32.5,88191.0,373994.0
40,60644,29537.0,75644.0,26357.0,16218.0,32.0,37836.0,251061.0
41,60645,25428.0,67765.0,21074.0,14726.0,29.9,36673.0,196431.0
42,60646,27078.0,71684.0,24746.0,16223.0,35.2,54929.0,296995.0
43,60647,19718.0,49105.0,17857.0,12631.0,43.0,60387.0,192308.0
44,60649,15915.0,34701.0,13535.0,7130.0,32.9,35838.0,273753.0
45,60651,15068.0,39124.0,13595.0,9174.0,36.9,53139.0,325961.0
46,60652,25671.0,45125.0,22983.0,9106.0,35.7,40742.0,240271.0
47,60653,33716.0,82768.0,28533.0,19842.0,36.3,40360.0,148702.0
48,60654,39926.0,94030.0,36204.0,20764.0,34.3,62001.0,368068.0
49,60655,23658.0,64658.0,19974.0,14648.0,32.4,32910.0,197860.0
50,60656,21491.0,57294.0,18559.0,13534.0,34.1,45896.0,127239.0
51,60657,29351.0,42209.0,26008.0,6896.0,36.9,78850.0,443153.0
52,60659,17425.0,35475.0,12019.0,7667.0,32.8,19263.0,129378.0
54,60661,13516.0,37389.0,13071.0,9672.0,33.0,103761.0,277408.0
55,60660,24.0,44.0,22.0,14.0,48.8,60675.0,79167.0
